Column1;slugSeason;nameTeam;namePlayer;statusPlayer;isFinalSeason;isWaived;isOnRoster;isNonGuaranteed;isTeamOption;isPlayerOption;typeContractDetail;value;ID;FIRST_NAME;LAST_NAME;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;PLAYER_SLUG;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;GAMES_PLAYED_CURRENT_SEASON_FLAG;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;NBA_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER;PTS;AST;REB;ALL_STAR_APPEARANCES;PIE
15;2022-23;Atlanta Hawks;Clint Capela;current roster;1;0;1;0;0;0;Guaranteed;18206896;203991;Clint;Capela;Capela, Clint;C. Capela;clint-capela;18/05/1994 00:00;Elan Chalon;Switzerland;Elan Chalon/Switzerland;82;240;6;15;Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;clint_capela;2014;2020;Y;Y;Y;2014;1;25;14.3;0.9;14.2;;0.161
16;2020-21;Atlanta Hawks;Danilo Gallinari;current roster;0;0;1;0;0;0;Guaranteed;19500000;201568;Danilo;Gallinari;Gallinari, Danilo;D. Gallinari;danilo-gallinari;8/08/1988 00:00;Olimpia Milano;Italy;Olimpia Milano/Italy;82;233;11;8;Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;danilo_gallinari;2008;2020;N;Y;Y;2008;1;6;12.8;1.5;3.9;;0.11
17;2021-22;Atlanta Hawks;Danilo Gallinari;current roster;0;0;1;0;0;0;Guaranteed;20475000;201568;Danilo;Gallinari;Gallinari, Danilo;D. Gallinari;danilo-gallinari;8/08/1988 00:00;Olimpia Milano;Italy;Olimpia Milano/Italy;82;233;11;8;Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;danilo_gallinari;2008;2020;N;Y;Y;2008;1;6;12.8;1.5;3.9;;0.11
18;2022-23;Atlanta Hawks;Danilo Gallinari;current roster;1;0;1;1;0;0;Non-Guaranteed;21450000;201568;Danilo;Gallinari;Gallinari, Danilo;D. Gallinari;danilo-gallinari;8/08/1988 00:00;Olimpia Milano;Italy;Olimpia Milano/Italy;82;233;11;8;Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;danilo_gallinari;2008;2020;N;Y;Y;2008;1;6;12.8;1.5;3.9;;0.11
19;2020-21;Atlanta Hawks;De'Andre Hunter;current roster;0;0;1;0;0;0;Guaranteed;7422000;1629631;De'Andre;Hunter;Hunter, De'Andre;D. Hunter;deandre-hunter;2/12/1997 00:00;Virginia;USA;Virginia/USA;80;225;1;12;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;deandre_hunter;2019;2020;N;Y;Y;2019;1;4;16.7;2.2;5.2;;0.114
20;2021-22;Atlanta Hawks;De'Andre Hunter;current roster;0;0;1;0;0;0;Guaranteed;7775400;1629631;De'Andre;Hunter;Hunter, De'Andre;D. Hunter;deandre-hunter;2/12/1997 00:00;Virginia;USA;Virginia/USA;80;225;1;12;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;deandre_hunter;2019;2020;N;Y;Y;2019;1;4;16.7;2.2;5.2;;0.114
21;2022-23;Atlanta Hawks;De'Andre Hunter;current roster;0;0;1;0;1;0;Team Option;9835881;1629631;De'Andre;Hunter;Hunter, De'Andre;D. Hunter;deandre-hunter;2/12/1997 00:00;Virginia;USA;Virginia/USA;80;225;1;12;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;deandre_hunter;2019;2020;N;Y;Y;2019;1;4;16.7;2.2;5.2;;0.114
22;2023-24;Atlanta Hawks;De'Andre Hunter;current roster;1;0;1;0;0;0;Qualifying Offer;12973527;1629631;De'Andre;Hunter;Hunter, De'Andre;D. Hunter;deandre-hunter;2/12/1997 00:00;Virginia;USA;Virginia/USA;80;225;1;12;Forward-Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;deandre_hunter;2019;2020;N;Y;Y;2019;1;4;16.7;2.2;5.2;;0.114
23;2020-21;Atlanta Hawks;John Collins;current roster;0;0;1;0;0;0;Guaranteed;4137302;1628381;John;Collins;Collins, John;J. Collins;john-collins;23/09/1997 00:00;Wake Forest;USA;Wake Forest/USA;81;235;3;20;Forward-Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;john_collins;2017;2020;N;Y;Y;2017;1;19;18.3;1.3;7.8;;0.124
24;2021-22;Atlanta Hawks;John Collins;current roster;1;0;1;0;0;0;Qualifying Offer;7705447;1628381;John;Collins;Collins, John;J. Collins;john-collins;23/09/1997 00:00;Wake Forest;USA;Wake Forest/USA;81;235;3;20;Forward-Center;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;john_collins;2017;2020;N;Y;Y;2017;1;19;18.3;1.3;7.8;;0.124
25;2020-21;Atlanta Hawks;Kevin Huerter;current roster;0;0;1;0;0;0;Guaranteed;2761920;1628989;Kevin;Huerter;Huerter, Kevin;K. Huerter;kevin-huerter;27/08/1998 00:00;Maryland;USA;Maryland/USA;79;190;2;3;Guard-Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;kevin_huerter;2018;2020;N;Y;Y;2018;1;19;11.9;3.6;3.7;;0.077
26;2021-22;Atlanta Hawks;Kevin Huerter;current roster;0;0;1;0;0;0;Guaranteed;4253357;1628989;Kevin;Huerter;Huerter, Kevin;K. Huerter;kevin-huerter;27/08/1998 00:00;Maryland;USA;Maryland/USA;79;190;2;3;Guard-Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;kevin_huerter;2018;2020;N;Y;Y;2018;1;19;11.9;3.6;3.7;;0.077
27;2022-23;Atlanta Hawks;Kevin Huerter;current roster;1;0;1;0;0;0;Qualifying Offer;6065287;1628989;Kevin;Huerter;Huerter, Kevin;K. Huerter;kevin-huerter;27/08/1998 00:00;Maryland;USA;Maryland/USA;79;190;2;3;Guard-Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;kevin_huerter;2018;2020;N;Y;Y;2018;1;19;11.9;3.6;3.7;;0.077
28;2020-21;Atlanta Hawks;Khyri Thomas;W;0;0;0;0;0;0;Not With Team;744684;1629017;Khyri;Thomas;Thomas, Khyri;K. Thomas;khyri-thomas;8/05/1996 00:00;Creighton;USA;Creighton/USA;75;210;2;13;Guard;Inactive;N;1610612765;Pistons;DET;pistons;Detroit;khyri_thomas;2018;2019;Y;Y;Y;2018;2;38;2.3;0.3;0.6;0;
29;2020-21;Atlanta Hawks;Kris Dunn;current roster;0;0;1;0;0;0;Guaranteed;4767000;1627739;Kris;Dunn;Dunn, Kris;K. Dunn;kris-dunn;18/03/1994 00:00;Providence;USA;Providence/USA;75;205;4;32;Guard;Active;N;1610612737;Hawks;ATL;hawks;Atlanta;kris_dunn;2016;2020;N;Y;Y;2016;1;5;7.3;3.4;3.6;;0.082
30;2021-22;Atlanta Hawks;Kris Dunn;current roster;1;0;1;0;0;1;Player Option;5005350;1627739;Kris;Dunn;Dunn, Kris;K. Dunn;kris-dunn;18/03/1994 00:00;Providence;USA;Providence/USA;75;205;4;32;Guard;Active;N;1610612737;Hawks;ATL;hawks;Atlanta;kris_dunn;2016;2020;N;Y;Y;2016;1;5;7.3;3.4;3.6;;0.082
31;2020-21;Atlanta Hawks;Lou Williams;current roster;1;0;1;0;0;0;Guaranteed;8000000;101150;Lou;Williams;Williams, Lou;L. Williams;lou-williams;27/10/1986 00:00;South Gwinnett HS (GA);USA;South Gwinnett HS (GA)/USA;73;175;15;23;Guard;Active;Y;1610612746;Clippers;LAC;clippers;LA;lou_williams;2005;2020;Y;Y;Y;2005;2;45;12;3.5;2.1;;0.103
32;2020-21;Atlanta Hawks;Onyeka Okongwu;current roster;0;0;1;0;0;0;Guaranteed;5813640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;2021-22;Atlanta Hawks;Onyeka Okongwu;current roster;0;0;1;0;0;0;Guaranteed;6104280;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;2022-23;Atlanta Hawks;Onyeka Okongwu;current roster;0;0;1;0;1;0;Team Option;6395160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;2023-24;Atlanta Hawks;Onyeka Okongwu;current roster;0;0;1;0;1;0;Team Option;8109063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;2024-25;Atlanta Hawks;Onyeka Okongwu;current roster;1;0;1;0;0;0;Qualifying Offer;10817490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;2020-21;Atlanta Hawks;Solomon Hill;current roster;1;0;1;0;0;0;Guaranteed;1620564;203524;Solomon;Hill;Hill, Solomon;S. Hill;solomon-hill;18/03/1991 00:00;Arizona;USA;Arizona/USA;78;226;7;18;Forward;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;solomon_hill;2013;2020;Y;Y;Y;2013;1;23;4.2;0.9;2.3;;0.038
38;2020-21;Atlanta Hawks;Tony Snell;current roster;1;0;1;0;0;0;Guaranteed;12178571;203503;Tony;Snell;Snell, Tony;T. Snell;tony-snell;10/11/1991 00:00;New Mexico;USA;New Mexico/USA;78;213;7;19;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;tony_snell;2013;2020;N;Y;Y;2013;1;20;5.6;1.4;2.3;;0.072
39;2020-21;Atlanta Hawks;Trae Young;current roster;0;0;1;0;0;0;Guaranteed;6571800;1629027;Trae;Young;Young, Trae;T. Young;trae-young;19/09/1998 00:00;Oklahoma;USA;Oklahoma/USA;73;180;2;11;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;trae_young;2018;2020;N;Y;Y;2018;1;5;25.7;9.4;4.1;;0.151
40;2021-22;Atlanta Hawks;Trae Young;current roster;0;0;1;0;0;0;Guaranteed;8326471;1629027;Trae;Young;Young, Trae;T. Young;trae-young;19/09/1998 00:00;Oklahoma;USA;Oklahoma/USA;73;180;2;11;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;trae_young;2018;2020;N;Y;Y;2018;1;5;25.7;9.4;4.1;;0.151
41;2022-23;Atlanta Hawks;Trae Young;current roster;1;0;1;0;0;0;Qualifying Offer;11040900;1629027;Trae;Young;Young, Trae;T. Young;trae-young;19/09/1998 00:00;Oklahoma;USA;Oklahoma/USA;73;180;2;11;Guard;Active;Y;1610612737;Hawks;ATL;hawks;Atlanta;trae_young;2018;2020;N;Y;Y;2018;1;5;25.7;9.4;4.1;;0.151
42;2020-21;Boston Celtics;Aaron Nesmith;current roster;0;0;1;0;0;0;Guaranteed;3458400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;2021-22;Boston Celtics;Aaron Nesmith;current roster;0;0;1;0;0;0;Guaranteed;3631200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;2022-23;Boston Celtics;Aaron Nesmith;current roster;0;0;1;0;1;0;Team Option;3804360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;2023-24;Boston Celtics;Aaron Nesmith;current roster;0;0;1;0;1;0;Team Option;5634257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;2024-25;Boston Celtics;Aaron Nesmith;current roster;1;0;1;0;0;0;Qualifying Offer;7837251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;2020-21;Boston Celtics;Carsen Edwards;current roster;0;0;1;0;0;0;Guaranteed;1517981;1629035;Carsen;Edwards;Edwards, Carsen;C. Edwards;carsen-edwards;12/03/1998 00:00;Purdue;USA;Purdue/USA;71;200;1;4;Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;carsen_edwards;2019;2020;Y;Y;Y;2019;2;33;5.1;0.6;1.1;;0.076
48;2021-22;Boston Celtics;Carsen Edwards;current roster;1;0;1;0;0;0;Guaranteed;1782621;1629035;Carsen;Edwards;Edwards, Carsen;C. Edwards;carsen-edwards;12/03/1998 00:00;Purdue;USA;Purdue/USA;71;200;1;4;Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;carsen_edwards;2019;2020;Y;Y;Y;2019;2;33;5.1;0.6;1.1;;0.076
49;2022-23;Boston Celtics;Carsen Edwards;current roster;0;0;1;0;1;0;Team Option;1930681;1629035;Carsen;Edwards;Edwards, Carsen;C. Edwards;carsen-edwards;12/03/1998 00:00;Purdue;USA;Purdue/USA;71;200;1;4;Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;carsen_edwards;2019;2020;Y;Y;Y;2019;2;33;5.1;0.6;1.1;;0.076
50;2020-21;Boston Celtics;Demetrius Jackson;W;0;0;0;0;0;0;Not With Team;92857;1627743;Demetrius;Jackson;Jackson, Demetrius;D. Jackson;demetrius-jackson;7/09/1994 00:00;Notre Dame;USA;Notre Dame/USA;73;201;3;;Guard;Inactive;N;0;;;;;demetrius_jackson;2016;2018;Y;Y;Y;2016;2;45;1.8;0.7;0.7;0;
51;2021-22;Boston Celtics;Demetrius Jackson;W;0;0;0;0;0;0;Not With Team;92857;1627743;Demetrius;Jackson;Jackson, Demetrius;D. Jackson;demetrius-jackson;7/09/1994 00:00;Notre Dame;USA;Notre Dame/USA;73;201;3;;Guard;Inactive;N;0;;;;;demetrius_jackson;2016;2018;Y;Y;Y;2016;2;45;1.8;0.7;0.7;0;
52;2022-23;Boston Celtics;Demetrius Jackson;W;0;0;0;0;0;0;Not With Team;92857;1627743;Demetrius;Jackson;Jackson, Demetrius;D. Jackson;demetrius-jackson;7/09/1994 00:00;Notre Dame;USA;Notre Dame/USA;73;201;3;;Guard;Inactive;N;0;;;;;demetrius_jackson;2016;2018;Y;Y;Y;2016;2;45;1.8;0.7;0.7;0;
53;2023-24;Boston Celtics;Demetrius Jackson;W;0;0;0;0;0;0;Not With Team;92857;1627743;Demetrius;Jackson;Jackson, Demetrius;D. Jackson;demetrius-jackson;7/09/1994 00:00;Notre Dame;USA;Notre Dame/USA;73;201;3;;Guard;Inactive;N;0;;;;;demetrius_jackson;2016;2018;Y;Y;Y;2016;2;45;1.8;0.7;0.7;0;
54;2020-21;Boston Celtics;Evan Fournier;current roster;1;0;1;0;0;0;Guaranteed;17450000;203095;Evan;Fournier;Fournier, Evan;E. Fournier;evan-fournier;29/10/1992 00:00;Poitiers Basket 86;France;Poitiers Basket 86/France;79;205;8;10;Guard-Forward;Active;Y;1610612753;Magic;ORL;magic;Orlando;evan_fournier;2012;2020;N;Y;Y;2012;1;20;19.6;3.7;3;;0.107
55;2020-21;Boston Celtics;Grant Williams;current roster;0;0;1;0;0;0;Guaranteed;2498760;1629684;Grant;Williams;Williams, Grant;G. Williams;grant-williams;30/11/1998 00:00;Tennessee;USA;Tennessee/USA;78;236;1;12;Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;grant_williams;2019;2020;N;Y;Y;2019;1;22;5;0.9;2.9;;0.043
56;2021-22;Boston Celtics;Grant Williams;current roster;0;0;1;0;0;0;Guaranteed;2617800;1629684;Grant;Williams;Williams, Grant;G. Williams;grant-williams;30/11/1998 00:00;Tennessee;USA;Tennessee/USA;78;236;1;12;Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;grant_williams;2019;2020;N;Y;Y;2019;1;22;5;0.9;2.9;;0.043
57;2022-23;Boston Celtics;Grant Williams;current roster;0;0;1;0;1;0;Team Option;4306281;1629684;Grant;Williams;Williams, Grant;G. Williams;grant-williams;30/11/1998 00:00;Tennessee;USA;Tennessee/USA;78;236;1;12;Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;grant_williams;2019;2020;N;Y;Y;2019;1;22;5;0.9;2.9;;0.043
58;2023-24;Boston Celtics;Grant Williams;current roster;1;0;1;0;0;0;Qualifying Offer;6235495;1629684;Grant;Williams;Williams, Grant;G. Williams;grant-williams;30/11/1998 00:00;Tennessee;USA;Tennessee/USA;78;236;1;12;Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;grant_williams;2019;2020;N;Y;Y;2019;1;22;5;0.9;2.9;;0.043
59;2020-21;Boston Celtics;Guerschon Yabusele;W;0;0;0;0;0;0;Not With Team;1039080;1627824;Guerschon;Yabusele;Yabusele, Guerschon;G. Yabusele;guerschon-yabusele;17/12/1995 00:00; ;France;Rouen Metropole/France;80;260;2;30;Forward;Inactive;N;1610612738;Celtics;BOS;celtics;Boston;guerschon_yabusele;2016;2018;Y;Y;Y;2016;1;16;2.3;0.4;1.4;0;
60;2021-22;Boston Celtics;Guerschon Yabusele;W;0;0;0;0;0;0;Not With Team;1039080;1627824;Guerschon;Yabusele;Yabusele, Guerschon;G. Yabusele;guerschon-yabusele;17/12/1995 00:00; ;France;Rouen Metropole/France;80;260;2;30;Forward;Inactive;N;1610612738;Celtics;BOS;celtics;Boston;guerschon_yabusele;2016;2018;Y;Y;Y;2016;1;16;2.3;0.4;1.4;0;
61;2020-21;Boston Celtics;Jaylen Brown;current roster;0;0;1;0;0;0;Guaranteed;23437500;1627759;Jaylen;Brown;Brown, Jaylen;J. Brown;jaylen-brown;24/10/1996 00:00;California;USA;California/USA;78;223;4;7;Guard-Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jaylen_brown;2016;2020;N;Y;Y;2016;1;3;24.7;3.9;5.6;;0.132
62;2021-22;Boston Celtics;Jaylen Brown;current roster;0;0;1;0;0;0;Guaranteed;25312500;1627759;Jaylen;Brown;Brown, Jaylen;J. Brown;jaylen-brown;24/10/1996 00:00;California;USA;California/USA;78;223;4;7;Guard-Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jaylen_brown;2016;2020;N;Y;Y;2016;1;3;24.7;3.9;5.6;;0.132
63;2022-23;Boston Celtics;Jaylen Brown;current roster;0;0;1;0;0;0;Guaranteed;27187500;1627759;Jaylen;Brown;Brown, Jaylen;J. Brown;jaylen-brown;24/10/1996 00:00;California;USA;California/USA;78;223;4;7;Guard-Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jaylen_brown;2016;2020;N;Y;Y;2016;1;3;24.7;3.9;5.6;;0.132
64;2023-24;Boston Celtics;Jaylen Brown;current roster;1;0;1;0;0;0;Guaranteed;29062501;1627759;Jaylen;Brown;Brown, Jaylen;J. Brown;jaylen-brown;24/10/1996 00:00;California;USA;California/USA;78;223;4;7;Guard-Forward;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jaylen_brown;2016;2020;N;Y;Y;2016;1;3;24.7;3.9;5.6;;0.132
65;2020-21;Boston Celtics;Jayson Tatum;current roster;0;0;1;0;0;0;Guaranteed;9897120;1628369;Jayson;Tatum;Tatum, Jayson;J. Tatum;jayson-tatum;3/03/1998 00:00;Duke;USA;Duke/USA;80;210;3;0;Forward-Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jayson_tatum;2017;2020;N;Y;Y;2017;1;3;24.9;4.3;6.8;;0.145
66;2021-22;Boston Celtics;Jayson Tatum;current roster;0;0;1;0;0;0;Guaranteed;28103500;1628369;Jayson;Tatum;Tatum, Jayson;J. Tatum;jayson-tatum;3/03/1998 00:00;Duke;USA;Duke/USA;80;210;3;0;Forward-Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jayson_tatum;2017;2020;N;Y;Y;2017;1;3;24.9;4.3;6.8;;0.145
67;2022-23;Boston Celtics;Jayson Tatum;current roster;0;0;1;0;0;0;Guaranteed;30351780;1628369;Jayson;Tatum;Tatum, Jayson;J. Tatum;jayson-tatum;3/03/1998 00:00;Duke;USA;Duke/USA;80;210;3;0;Forward-Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jayson_tatum;2017;2020;N;Y;Y;2017;1;3;24.9;4.3;6.8;;0.145
68;2023-24;Boston Celtics;Jayson Tatum;current roster;0;0;1;0;0;0;Guaranteed;32600060;1628369;Jayson;Tatum;Tatum, Jayson;J. Tatum;jayson-tatum;3/03/1998 00:00;Duke;USA;Duke/USA;80;210;3;0;Forward-Guard;Active;Y;1610612738;Celtics;BOS;celtics;Boston;jayson_tatum;2017;2020;N;Y;Y;2017;1;3;24.9;4.3;6.8;;0.145
